region_code,region_name,region_name_official,yta_name,budget_nominal_meur_2023,budget_nominal_meur_2024,budget_nominal_meur_2025,budget_nominal_meur_2026,placed_children_2021,placed_children_pct_2021,placed_children_2022,placed_children_pct_2022,placed_children_2023,placed_children_pct_2023,placed_children_2024,placed_children_pct_2024,budget_change_meur_2023_2026,budget_change_pct_2023_2026,budget_change_pct_2023_2024,budget_change_pct_2024_2025,budget_change_pct_2025_2026,placed_change_n_2021_2024,placed_change_pct_2021_2024,placed_change_n_2023_2024,placed_change_pct_2023_2024,budget_minus_placements_change_pp_2023_2024
01,Itä-Uudenmaan hyvinvointialue,Itä-Uudenmaan hyvinvointialue,Etelä-Suomen yhteistyöalue,433.199,447.778,465.363,492.262,193,0.7,201,0.8,181,0.7,177,0.7,59.063,13.63,3.37,3.93,5.78,-16,-8.29,-4,-2.21,5.58
02,Keski-Uudenmaan hyvinvointialue,Keski-Uudenmaan hyvinvointialue,Etelä-Suomen yhteistyöalue,854.589,884.245,915.828,933.647,615,1.0,599,1.0,632,1.1,685,1.2,79.058,9.25,3.47,3.57,1.95,70,11.38,53,8.39,-4.92
03,Länsi-Uudenmaan hyvinvointialue,Länsi-Uudenmaan hyvinvointialue,Etelä-Suomen yhteistyöalue,2112.418,1931.442,2049.882,2141.23,1318,0.9,1333,0.9,1304,0.9,1289,0.9,28.812,1.36,-8.57,6.13,4.46,-29,-2.2,-15,-1.15,-7.42
04,Vantaan ja Keravan hyvinvointialue,Vantaan ja Keravan hyvinvointialue,Etelä-Suomen yhteistyöalue,1136.561,1279.622,1296.52,1329.288,1232,1.5,1244,1.5,1179,1.4,1155,1.4,192.727,16.96,12.59,1.32,2.53,-77,-6.25,-24,-2.04,14.63
05,Varsinais-Suomen hyvinvointialue,Varsinais-Suomen hyvinvointialue,Länsi-Suomen yhteistyöalue,2336.158,2466.109,2613.517,2713.849,1483,1.1,1433,1.1,1447,1.1,1430,1.1,377.691,16.17,5.56,5.98,3.84,-53,-3.57,-17,-1.17,6.73
06,Satakunnan hyvinvointialue,Satakunnan hyvinvointialue,Länsi-Suomen yhteistyöalue,1097.474,1166.177,1203.323,1194.541,767,1.4,780,1.5,749,1.4,731,1.4,97.067,8.84,6.26,3.19,-0.73,-36,-4.69,-18,-2.4,8.66
07,Kanta-Hämeen hyvinvointialue,Kanta-Hämeen hyvinvointialue,Sisä-Suomen yhteistyöalue,810.182,902.927,882.847,829.921,649,1.5,627,1.5,585,1.4,548,1.3,19.739,2.44,11.45,-2.22,-5.99,-101,-15.56,-37,-6.32,17.77
08,Pirkanmaan hyvinvointialue,Pirkanmaan hyvinvointialue,Sisä-Suomen yhteistyöalue,2559.534,2728.426,2884.246,2970.085,1689,1.1,1591,1.1,1517,1.0,1418,0.9,410.551,16.04,6.6,5.71,2.98,-271,-16.04,-99,-6.53,13.13
09,Päijät-Hämeen hyvinvointialue,Päijät-Hämeen hyvinvointialue,Etelä-Suomen yhteistyöalue,947.756,1044.684,1080.354,1105.434,781,1.5,772,1.5,774,1.6,773,1.6,157.678,16.64,10.23,3.41,2.32,-8,-1.02,-1,-0.13,10.36
10,Kymenlaakson hyvinvointialue,Kymenlaakson hyvinvointialue,Etelä-Suomen yhteistyöalue,936.968,1010.202,1013.582,1044.147,624,1.7,619,1.7,626,1.8,619,1.8,107.179,11.44,7.82,0.33,3.02,-5,-0.8,-7,-1.12,8.94
11,Etelä-Karjalan hyvinvointialue,Etelä-Karjalan hyvinvointialue,Etelä-Suomen yhteistyöalue,635.452,664.341,686.561,676.376,180,0.6,170,0.6,170,0.6,160,0.5,40.924,6.44,4.55,3.34,-1.48,-20,-11.11,-10,-5.88,10.43
12,Etelä-Savon hyvinvointialue,Etelä-Savon hyvinvointialue,Itä-Suomen yhteistyöalue,854.996,871.584,892.313,901.152,428,1.5,487,1.7,500,1.8,488,1.8,46.156,5.4,1.94,2.38,0.99,60,14.02,-12,-2.4,4.34
13,Pohjois-Savon hyvinvointialue,Pohjois-Savon hyvinvointialue,Itä-Suomen yhteistyöalue,1354.417,1453.268,1575.818,1566.53,951,1.5,961,1.5,1036,1.6,1033,1.6,212.113,15.66,7.3,8.43,-0.59,82,8.62,-3,-0.29,7.59
14,Pohjois-Karjalan hyvinvointialue,Pohjois-Karjalan hyvinvointialue,Itä-Suomen yhteistyöalue,819.868,904.692,934.071,967.334,581,1.4,570,1.4,606,1.5,600,1.5,147.466,17.99,10.35,3.25,3.56,19,3.27,-6,-0.99,11.34
