cabinet_ordinal,cabinet_id,cabinet_name,prime_minister_surname,start_date,end_date,is_incumbent,days_in_office_source,days_in_office_computed,pm_party_fi,cabinet_type_fi,source_id,source_url,vintage_date
1,001_svinhufvud,Svinhufvud,Svinhufvud,1917-11-27,1918-05-27,False,182,182,Nuorsuomalaiset,Enemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
2,002_paasikivi,Paasikivi,Paasikivi,1918-05-27,1918-11-27,False,185,185,Suomalainen puolue,Enemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
3,003_ingman,Ingman,Ingman,1918-11-27,1919-04-17,False,142,142,Kansallinen Kokoomus,Enemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
4,004_castren_k,Castren K.,Castren K.,1919-04-17,1919-08-15,False,121,121,Edistyspuolue,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
5,005_vennola,Vennola,Vennola,1919-08-15,1920-03-15,False,214,214,Edistyspuolue,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
6,006_erich,Erich,Erich,1920-03-15,1921-04-09,False,391,391,Kansallinen Kokoomus,Enemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
7,007_vennola_ii,Vennola II,Vennola,1921-04-09,1922-06-02,False,420,420,Edistyspuolue,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
8,008_cajander,Cajander,Cajander,1922-06-02,1922-11-14,False,166,166,Ammatti/virkamies,Virkamies,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
9,009_kallio,Kallio,Kallio,1922-11-14,1924-01-18,False,431,431,Maalaisliitto,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
10,010_cajander_ii,Cajander II,Cajander,1924-01-18,1924-05-31,False,135,135,Ammatti/virkamies,Virkamies,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
11,011_ingman_ii,Ingman II,Ingman,1924-05-31,1925-03-31,False,305,305,Kansallinen Kokoomus,Enemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
12,012_tulenheimo,Tulenheimo,Tulenheimo,1925-03-31,1925-12-31,False,276,276,Kansallinen Kokoomus,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
13,013_kallio_ii,Kallio II,Kallio,1925-12-31,1926-12-13,False,348,348,Maalaisliitto,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
14,014_tanner,Tanner,Tanner,1926-12-13,1927-12-17,False,370,370,Suomen Sosialidemokraattinen Puolue,Vähemmistö,valtioneuvosto_hallitukset,https://valtioneuvosto.fi/hallitukset-ja-ministerit/hallitukset/,2026-08-22
