year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,21.01.21.,Kansanedustajien toimintamenot,Eduskunta,19613703.1,true,rename,79,12,2007-12-01,true,complete
2007,expense,21.02.21.,Eduskunnan kanslian toimintamenot,Eduskunta,55163917.24,true,rename,692,12,2007-12-01,true,complete
2007,expense,21.02.29.,Arvonlisäveromenot,Eduskunta,4825425.07,true,rename|rename|rename,43,12,2007-12-01,true,complete
2007,expense,21.02.74.,Eduskunnan rakennusten peruskorjaukset,Eduskunta,2104664.46,false,,15,12,2007-12-01,true,complete
2007,expense,21.09.21.,Valtiontilintarkastajien toimintamenot,Eduskunta,630000,false,,102,12,2007-12-01,true,complete
2007,expense,21.14.21.,Eduskunnan oikeusasiamiehen kanslian toimintamenot,Eduskunta,4571950.58,true,rename,212,12,2007-12-01,true,complete
2007,expense,21.30.21.,Kansainvälisten suhteiden ja Euroopan unionin tutkimuslaitoksen toimintamenot,Eduskunta,1754565.71,false,,381,12,2007-12-01,true,complete
2007,expense,21.30.29.,Arvonlisäveromenot,Eduskunta,90784.51,false,,36,12,2007-12-01,true,complete
2007,expense,21.40.21.,Valtiontalouden tarkastusviraston toimintamenot,Eduskunta,11917066.43,false,,409,12,2007-12-01,true,complete
2007,expense,21.40.29.,Arvonlisäveromenot,Eduskunta,400104.31,true,rename|rename,38,12,2007-12-01,true,complete
2007,expense,21.99.21.,Käyttövarat eduskuntaryhmille ryhmäkanslioita varten,Eduskunta,3680640,true,rename,12,12,2007-12-01,true,complete
2007,expense,22.01.01.,Presidentin palkkio ja edustusrahat,Tasavallan presidentti,265913.26,false,,58,12,2007-12-01,true,complete
2007,expense,22.01.21.,Presidentin käyttövarat,Tasavallan presidentti,42772.03,true,rename,44,12,2007-12-01,true,complete
2007,expense,22.02.21.,Tasavallan presidentin kanslian toimintamenot,Tasavallan presidentti,7724807.22,false,,689,12,2007-12-01,true,complete
2007,expense,22.02.27.,Eläkkeellä olevien presidenttien menot,Tasavallan presidentti,88566.27,true,rename,125,12,2007-12-01,true,complete
2007,expense,22.02.29.,Arvonlisäveromenot,Tasavallan presidentti,657227.9,true,rename|rename,38,12,2007-12-01,true,complete
2007,expense,22.02.75.,Perusparannukset,Tasavallan presidentti,708081.73,false,,58,12,2007-12-01,true,complete
2007,expense,23.01.01.,Palkkaukset,Valtioneuvosto,4487989.79,false,,51,12,2007-12-01,true,complete
2007,expense,23.02.21.,Valtioneuvoston kanslian toimintamenot,Valtioneuvosto,23266157.16,false,,589,12,2007-12-01,true,complete
2007,expense,23.02.22.,EU-puheenjohtajuus,Valtioneuvosto,134474.53,false,,46,12,2007-12-01,true,complete
