year,gdp_current_prices_meur,gdp_volume_change_pct,gdp_volume_index_2015_100,gdp_price_index_2015_100,central_government_edp_debt_q4_meur,employed_persons_thousands,hours_worked_millions,population_midyear_persons,available_series_count
2007,187059.0,5.3,104.8,84.9,60711.0,2518.9,4176.4,5288719.5,9
2008,194253.0,0.8,105.6,87.5,60170.0,2575.1,4258.7,5313399.0,9
2009,181735.0,-8.1,97.1,89.0,70887.0,2509.8,4097.3,5338870.5,9
2010,188147.0,3.2,100.2,89.4,83682.0,2491.0,4081.4,5363351.5,9
2011,197655.0,2.4,102.6,91.7,92490.0,2528.7,4122.3,5388271.5,9
2012,200378.0,-1.5,101.0,94.4,100968.0,2544.2,4116.8,5413970.5,9
2013,203497.0,-1.0,100.0,96.8,106631.0,2523.8,4064.4,5438972.0,9
2014,205855.0,-0.5,99.5,98.4,113287.0,2510.0,4031.8,5461511.5,9
2015,210192.0,0.5,100.0,100.0,120675.0,2518.0,4040.5,5479530.5,9
2016,215717.0,2.6,102.6,100.1,123449.0,2532.0,4062.4,5495302.5,9
2017,224706.0,3.3,106.0,100.9,124864.0,2547.3,4070.6,5508213.5,9
2018,231905.0,1.2,107.2,102.9,124025.0,2613.6,4171.7,5515524.5,9
2019,238518.0,1.3,108.7,104.4,126081.0,2652.1,4205.2,5521605.5,9
2020,236387.0,-2.5,106.0,106.1,144232.0,2590.0,4086.2,5529542.5,9
2021,248764.0,2.7,108.8,108.8,148248.0,2649.7,4174.9,5541017.0,9
2022,266135.0,0.8,109.6,115.5,160668.0,2742.8,4281.4,5556105.5,9
2023,273005.0,-1.3,108.2,120.0,175054.0,2770.0,4288.0,5583910.5,9
2024,276151.0,0.9,109.2,120.3,189752.0,2748.0,4252.0,5619911.0,9
2025,281674.0,0.8,110.1,121.8,209131.0,2732.1,4224.0,5644426.0,9
