tulo/meno,momenttitaso,momenttinumerot,linkki,1.momentti,2.momentti,3.momentti,nimi,poistettava momentti,numero,Lib budjetti,Leikattavaa momentista,Liikennevalo,Perustelu,suhdeluku leikkauksiin,Leikkausten kategorisointi
tulo,0,10.,,Tuloarvioiden kokonaismäärä,,,,,90 305 736 000,77 752 965 150,−12 552 770 850,Tärkeä / Tehokas,,"−13,90%",
tulo,1,11.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/11.html,11. VEROT JA VERONLUONTEISET TULOT,,,11. VEROT JA VERONLUONTEISET TULOT,,68 249 709 000,65 727 008 750,−2 522 700 250,Tärkeä / Tehokas,,"−3,70%",
tulo,2,11.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,,01. Tulon ja varallisuuden perusteella kannettavat verot,,33 643 000 000,26 848 749 650,−6 794 250 350,Liikkumavaraa,,"−20,20%",
tulo,3,11.01.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01. Ansio- ja pääomatuloverot,01. Ansio- ja pääomatuloverot,,26 480 000 000,20 535 749 650,−5 944 250 350,Leikataan / Tehoton,,"−22,45%",
tulo,4,11.01.01.01.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.01. Progressiivinen tulovero,01.01. Progressiivinen tulovero,,21 461 000 000,13 612 551 650,−7 848 448 350,Leikataan / Tehoton,"Liberaalipuolue ajaa verotuksen yksinkertaistamista ja työn verotuksen madaltamista. Valtion progressiivisen tuloveron keräämistä vähennetään yhteensä 7,848 miljardia, eli 36,5 %, ja se kohdennetaan työtulovähennykseen. Palkkatulojen ansiotuloveroja lasketaan 5,1 miljardilla ja poistamalla 2,7139 miljardia eli kymmenys hyvinvointialueiden kustannuksista. Hyvinvointialueille myönnetään vastaavasti verotusoikeus. Tämä kannustaa kustannusten hillitsemiseen ja asiakasmaksujen korottamiseen alueilla, mutta mikäli näin ei käy, niin progressiivinen tuloverotus ei kiristy hyvinvointialueiden epäonnistumisen vuoksi. Lisäksi verotuksen yksinkertaistamiseksi tehdään 4,7 miljardia poistoja erilaisiin tuloveron verovähennyksiin ja kohdistetaan ne pelkästään työtulovähennykseen. Tämä koskee seuraavia: Perutaan Eläketulon lisäveron lieventäminen 59000000 €. Poistetaan eläketulovähennys 2345000000 €. Poistetaan kotitalousvähennys 360000000 €, Poistetaan lapsilisien verovapaus 480000000 €. Poistetaan Yrittäjävähennys 135000000 €. Muut 348000000 €. Poistetaan ateriaedun osittainen verovapaus työntekijän verotuksessa 60000000 €. Poistetaan matkakulujen vähennys arviolta 1879240753*0,48 mediaani matkakulujen vähentäjän 48 % marginaaliveroasteella noin 902000000 €. Näistä kertyy yhteensä 4,689 mrd€ joka kohdennetaan työtulovähennykseen. Vuosien saatossa tehtyjä veropohjan reikiä tulee poistaa.","−36,57%",
tulo,4,11.01.01.02.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.02. Pääomatulovero,01.02. Pääomatulovero,,3 823 000 000,6 426 000 000,2 603 000 000,Tärkeä / Tehokas,"Poistetaan Oman asunnon myyntivoiton verovapaus tai myyntitappion verovähennyskelvottomuus jonka suuruusluokka-arvio on 2500000000 €. Perintöverosta luopumisen myötä luovutusvoittoveron kertymä kasvaa 90000000 € Nämä käytetään progressiivisen tuloveron laskemiseen. Lisäksi Listaamattomien yhtiöiden osinkojen markkinakorkoa suurempi tuottoprosentti 550000000 € ja alennetaan sillä yleistä pääomatuloverokantaa, mikä ei näy momentin kokonaiskertymässä.","68,09%",
tulo,4,11.01.01.03.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.03. Rajoitetusti verovelvollisten maksama lähdevero,01.03. Rajoitetusti verovelvollisten maksama lähdevero,,569 000 000,422 198 000,−146 802 000,Leikataan / Tehoton,Lasketaan ulkomailla asuvien Suomen verotuksessa maksettavia veroja samassa suhteessa kuin 11.01.01.01. momenttia.,"−25,80%",
tulo,4,11.01.01.04.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.04. Eri verovuosilta maksuunpantujen verojen tilitys,01.04. Eri verovuosilta maksuunpantujen verojen tilitys,,75 000 000,75 000 000,0,Tärkeä / Tehokas,"Aikaisempien vuosien mätkyt ja muut myöhässä maksetut verot, jotka tuloutuvat seuraavan vuoden aikana. Säilytetään ennallaan, koska Liberaalipuolueen veronalennukset vaikuttavat vain tulevaan verotukseen.","0,00%",
tulo,4,11.01.01.05.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/01/01.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,01.05. Yleisradiovero,01.05. Yleisradiovero,,552 000 000,0,−552 000 000,Leikataan / Tehoton,Yleisradioverosta tulee luopua. Yleisradion rahoituksen tulee perustua budjettiin ja sen määrää on tarkasteltava erittäin kriittisesti. Yleisradion on keskityttävä ydintehtäviinsä ja vetäydyttävä kilpailullisilta markkinoilta. Momentissa 31.20.60. esitetään leikkauksia Ylen budjettiin.,"−100,00%",
tulo,3,11.01.02.,https://budjetti.vm.fi/indox/sisalto.jsp?year=2026&lang=fi&maindoc=/2026/tae/hallituksenEsitys/hallituksenEsitys.xml&id=/2026/tae/hallituksenEsitys/YksityiskohtaisetPerustelut/11/01/02/02.html,11. VEROT JA VERONLUONTEISET TULOT,01. Tulon ja varallisuuden perusteella kannettavat verot,02. Yhteisövero,02. Yhteisövero,,5 783 000 000,5 967 000 000,184 000 000,Tärkeä / Tehokas,Yhteisöverotuksessa yrityksen tulosta ei tule verottaa ellei sitä nosteta yrityksestä pois. Arvioon perustuvasta yhteisöveron ennakkomaksusta tulee luopua ja osinkoverotuksen tulee olla yhteneväistä pörssiin listattujen ja listaamattomien yritysten kesken. Yhteisövero tulee pitää kansainvälisesti kilpailukykyisenä. Apteekit sisällytettäisiin yhteisöveron piiriin 219 M€. Yhteisöjen ja yritysten maksama Ylevero 35 M€ poistetaan. Lisäksi poistetaan Käyttöomaisuuteen kuuluvien osakkeiden luovutusvoiton verovapaus 134 M€ (henkilöverotuksessa vastaava on oman asunnon myyntivoiton verovapaus) verotasoa laskemalla.,"3,18%",
