business_id,reporting_package,reporting_period,approval_stage,document_url,fetch_status,content_sha256,document_row_count,core_row_count,validation_finding_count,validation_max_severity,error_message,fetched_at
0101263-6,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0101263-6/2023,ok,6eb5b2c260891460c3c8b98a593786158e046df987ce6b5b4e7695a74a7e82df,158,32,0,0,,2026-08-18T16:46:35Z
0103166-9,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0103166-9/2023,ok,9731e9d98d940b533732b7eff4cb8c00047fa228d7e922e8089849f5ef42e582,158,32,0,0,,2026-08-18T16:46:35Z
0124610-9,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0124610-9/2023,ok,e68679696bc39d98f1b2506f6de9c447b3522fd4bb96581e48342260370cee44,158,32,0,0,,2026-08-18T16:46:35Z
0125866-0,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0125866-0/2023,ok,7dc72bbd4ea90c80dbe54004611d8d31815ad6d86b9afc3a32dde00634a57e41,158,32,0,0,,2026-08-18T16:46:35Z
0125920-9,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0125920-9/2023,ok,89ff58b3071cd43a3e7bbc47efb7a40410bd68dbee4f652074979f93b6a7475f,158,32,0,0,,2026-08-18T16:46:35Z
0126293-4,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0126293-4/2023,ok,6d1c03497e620094e5c2583c6d06f49c4c9d79e280b4f41c2884700952147c37,160,32,0,0,,2026-08-18T16:46:35Z
0126541-4,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0126541-4/2023,ok,d1309e64d20f909f7712c7480b8bcfaa92166ae4dad1d663b5f0bbeaa886fe9c,158,32,0,0,,2026-08-18T16:46:35Z
0127046-7,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0127046-7/2023,ok,f396dfb374f5435185f3820778e73b0612fd81956de513b44cf9697afbcd6bc0,158,32,0,0,,2026-08-18T16:46:35Z
0127485-5,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0127485-5/2023,ok,68a5451ba7bfcdd75ba2187c2e2b78780a52e9836121fae38ad8adb20d79fb4b,160,32,0,0,,2026-08-18T16:46:35Z
0129261-5,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0129261-5/2023,ok,ea2d0a130a9b1d2a488b793463ea4724d1104e0a6296bee55e66a3ccc0413107,160,32,0,0,,2026-08-18T16:46:35Z
0129920-0,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0129920-0/2023,ok,624a3c6761ecd6d56f069bdeaa33bb1ac08f56768086050da7a08faa120702f0,160,32,0,0,,2026-08-18T16:46:35Z
0130095-3,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0130095-3/2023,ok,8a36c69c9684b6ef566bf692915d044a49764cc8f2945b62e43f0fc8f9a9a13c,158,32,0,0,,2026-08-18T16:46:35Z
0130729-0,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0130729-0/2023,ok,d77b9f76ecdc20e3cc5d43b53d580cccfd3263ad03063b0ef3723d4655b15004,158,32,0,0,,2026-08-18T16:46:35Z
0131156-4,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0131156-4/2023,ok,c48698f1751fe36a546f4450cfb75263ffa633774e3e7ec4a17110b25fa5f90c,160,32,0,0,,2026-08-18T16:46:35Z
0131297-0,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0131297-0/2023,ok,8fe7114361cbbedefa5391bb9045ccc7ed55aa374d90aae7c73d9dbb79fb7ab8,158,32,0,0,,2026-08-18T16:46:35Z
0131661-3,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0131661-3/2023,ok,71d4c3cc991e2e57ed1f626c13e547dc532cdc762963982b6d8509cb9bb477a2,158,32,0,0,,2026-08-18T16:46:35Z
0131665-6,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0131665-6/2023,ok,674489b34336cc58e5f72ef620d6c1ae0f10e9a006647c4d57db957e887088b5,158,32,0,0,,2026-08-18T16:46:35Z
0131905-6,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0131905-6/2023,ok,986ea871be8326d2b2a94a259b1afa3acc3be29fe0b00a10647198b507f61115,160,32,0,0,,2026-08-18T16:46:35Z
0132103-3,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0132103-3/2023,ok,0ebac2ab90428cc808e070992f8ce52389f48ad0cbaf763f2d52b122d9dbc85a,158,32,0,0,,2026-08-18T16:46:35Z
0132239-4,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0132239-4/2023,ok,d35787fecbbe42b6f85957bd870b79c2152c4fe1cafc55d56ff9442179fb64db,160,32,0,0,,2026-08-18T16:46:35Z
0132322-3,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0132322-3/2023,ok,0300755b51118982ba7ebcf12eb923bda3dbcc78d02e3aad4eef13b60ba9fe8d,158,32,0,0,,2026-08-18T16:46:35Z
0132585-1,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0132585-1/2023,ok,ab00d67c2a78886920bf3e14d028d2990047702500344b26b83be2b63cdaecd9,160,32,0,0,,2026-08-18T16:46:35Z
0132947-3,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0132947-3/2023,ok,596bb06364aac97b02e87fc38334760a03ad62663b37f4899aad52743d549b2f,158,32,0,0,,2026-08-18T16:46:35Z
0133127-4,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0133127-4/2023,ok,41f5cfabc9181177ab7b577b2a4feaa7d60230f637c41fa4a681bdeeddea27c0,158,32,0,0,,2026-08-18T16:46:35Z
0133226-9,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0133226-9/2023,ok,b4f30437cf91dad396f802f44313210f94b0454009ab8991fe1d871b3d1fa162,158,32,0,0,,2026-08-18T16:46:35Z
0133596-1,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0133596-1/2023,ok,4a8c0e72f5e3c3a7cc50e38f063b7b3f1776125978c90a377cd351e696b89728,158,32,0,0,,2026-08-18T16:46:35Z
0133625-1,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0133625-1/2023,ok,9cb206691cd5b6693384755679384c6ab1caedbb8e8d04a14ec53ce615c32e6d,158,32,0,0,,2026-08-18T16:46:35Z
0133735-0,KTAS,2023,lopullinen,https://prodkuntarest.westeurope.cloudapp.azure.com/rest/v1/json/dokumentti/lopullinen/KTAS/0133735-0/2023,ok,70077db56bfd2096d9b9be576e54961748ae5474fd104921d744971b3a4b0a36,158,32,0,0,,2026-08-18T16:46:35Z
