region_code,region_name_fi,region_type,year,governance_period,reform_break,official_uri,primary_care_cost_nominal_eur_per_resident,public_health_staff_per_10000,primary_care_doctor_visits_per_1000,primary_care_wait_over_7d_pct,primary_care_doctor_continuity_coci,experienced_fast_access_pct,self_rated_health_mediocre_or_worse_pct,experienced_insufficient_doctor_services_pct,primary_care_emergency_visits_per_1000,avoidable_emergency_hospitalizations_per_100000,public_service_deflator_2015_100,primary_care_cost_real_2024_eur_per_resident,self_rated_healthy_pct,experienced_sufficient_doctor_services_pct,activity_per_real_cost,care_request_count,no_appointment_share_pct,interrupted_care_path_share_pct,median_wait_days,whole_chain_cost_real_eur_per_resident,available_metric_count,requested_metric_count,data_coverage_pct,coverage_status,activity_per_real_cost_index_fi_2020_100,continuity_index_fi_2020_100,experienced_access_index_fi_2020_100,experienced_service_adequacy_index_fi_2020_100,experienced_health_index_fi_2020_100,quality_balance_component_count,quality_balance_index,quality_balance_index_status,quality_balance_index_basis,service_value_index,service_value_index_status,service_value_index_basis
FI,Koko maa,country,2020,municipalities_aggregated_to_current_hva,false,http://www.yso.fi/onto/kunnat/suomi,578.9,244.6,1785.0,,0.34,68.4,36.8,19.8,359.8,1446.0,103.0,672.2,63.2,80.2,2.65546,,,,,,9,10,90.0,partial,100.0,100.0,100.0,100.0,100.0,4,100.0,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
FI,Koko maa,country,2021,municipalities_aggregated_to_current_hva,false,http://www.yso.fi/onto/kunnat/suomi,544.8,240.9,1806.0,38.3,0.31,,,,423.7,1297.0,105.6,617.03,,,2.926924,,,,,,7,10,70.0,partial,110.22,91.18,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
FI,Koko maa,country,2022,municipalities_aggregated_to_current_hva,false,http://www.yso.fi/onto/kunnat/suomi,567.4,240.9,1878.0,42.2,0.29,63.0,36.8,24.9,406.6,1129.0,110.4,614.68,63.2,75.1,3.055248,,,,,,10,10,100.0,complete,115.06,85.29,92.11,93.64,100.0,4,92.61,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
FI,Koko maa,country,2023,wellbeing_areas_reported,true,http://www.yso.fi/onto/kunnat/suomi,673.4,240.7,1925.0,48.5,0.28,,,,448.2,1081.0,116.4,691.91,,,2.782154,,,,,,7,10,70.0,partial,104.77,82.35,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
FI,Koko maa,country,2024,wellbeing_areas_reported,false,http://www.yso.fi/onto/kunnat/suomi,676.6,,2022.0,43.4,0.28,64.7,37.4,24.9,518.5,1045.0,119.6,676.6,62.6,75.1,2.988472,,,,,,9,10,90.0,partial,112.54,82.35,94.59,93.64,99.05,4,92.2,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
FI,Koko maa,country,2025,wellbeing_areas_reported,false,http://www.yso.fi/onto/kunnat/suomi,,,,54.7,0.29,,,,545.8,1050.0,,,,,,,,,,,4,10,40.0,partial,,85.29,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2020,municipalities_aggregated_to_current_hva,false,,504.0,150.9,1338.0,,0.34,65.3,37.0,19.8,355.1,1708.0,103.0,585.23,63.0,80.2,2.286281,,,,,,9,10,90.0,partial,86.1,100.0,95.47,100.0,99.68,4,98.77,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2021,municipalities_aggregated_to_current_hva,false,,469.5,147.7,1445.0,56.1,0.35,,,,373.3,1490.0,105.6,531.74,,,2.717494,,,,,,7,10,70.0,partial,102.34,102.94,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2022,municipalities_aggregated_to_current_hva,false,,545.8,138.1,1441.0,59.3,0.36,61.9,36.0,25.9,434.0,1242.0,110.4,591.28,64.0,74.1,2.437086,,,,,,10,10,100.0,complete,91.78,105.88,90.5,92.39,101.27,4,97.31,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2023,wellbeing_areas_reported,true,,619.8,128.3,1403.0,58.1,0.33,,,,437.5,970.0,116.4,636.84,,,2.203065,,,,,,7,10,70.0,partial,82.96,97.06,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2024,wellbeing_areas_reported,false,,701.7,,1435.0,49.7,0.31,64.8,36.9,22.4,414.1,825.0,119.6,701.7,63.1,77.6,2.045033,,,,,,9,10,90.0,partial,77.01,91.18,94.74,96.76,99.84,4,95.58,published_equal_weight_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
HVA-01,Itä-Uudenmaan hyvinvointialue,wellbeing_area,2025,wellbeing_areas_reported,false,,,,,51.8,0.33,,,,400.1,826.0,,,,,,,,,,,4,10,40.0,partial,,97.06,,,,1,,not_published_incomplete_quality_core,Finland 2020 = 100; equal-weight geometric mean,,retired_requires_whole_chain_value_data,"Not published until resolved need, whole-chain cost and safety are available"
